IncidentZip,RodentComplaints,UrineComplaints,GraffitiComplaints,AirComplaints,PartyBarComplaints,TotalComplaints
10271,1,0,0,0,0,1
10280,28,0,0,66,12,106
10282,17,0,1,7,1,26
10301,903,0,150,185,268,1506
10302,625,0,174,90,230,1119
10303,806,0,171,87,52,1116
10304,896,0,230,110,380,1616
10305,928,0,297,136,238,1599
10306,1375,0,221,168,264,2028
10307,303,0,26,42,450,821
10308,538,0,91,87,226,942
10309,457,0,97,65,145,764
10310,630,0,116,97,511,1354
10312,1008,0,150,125,127,1410
10314,1437,0,308,268,75,2088
83,19,0,0,0,0,19
11354,358,0,484,254,120,1216
11355,532,0,548,288,86,1454
11356,233,0,626,731,137,1727
11357,456,0,265,138,90,949
11358,307,0,338,125,124,894
11360,85,0,27,39,22,173
11361,276,0,229,86,121,712
11362,87,0,74,74,86,321
11363,42,0,23,45,39,149
11364,178,0,181,70,5,434
11365,251,0,221,82,11,565
11366,117,0,43,51,27,238
11367,350,0,94,83,83,610
11368,1038,0,2273,237,523,4071
11369,424,0,333,85,209,1051
11370,317,0,289,45,4,655
11372,735,0,782,202,1652,3371
11373,975,0,1134,192,379,2680
11374,498,0,183,190,111,982
11375,586,0,204,891,544,2225
11377,1299,0,1269,306,1091,3965
11378,716,0,524,144,283,1667
11379,581,0,183,122,31,917
11385,2578,0,737,443,1102,4860
11411,283,0,68,257,29,637
11412,1173,0,205,83,122,1583
11413,709,0,166,87,35,997
11414,449,0,45,56,488,1038
11415,195,0,111,78,522,906
11416,448,0,290,82,202,1022
11417,597,0,229,106,306,1238
11418,616,0,689,115,660,2080
11419,673,0,208,110,367,1358
11420,788,0,182,144,252,1366
11421,473,0,418,71,380,1342
11422,376,0,110,46,95,627
11423,454,0,199,65,337,1055
11426,235,0,85,47,57,424
11427,196,0,157,48,1,402
11428,204,0,209,42,55,510
11429,478,0,141,49,10,678
11430,13,0,0,2,0,15
11432,878,0,920,126,372,2296
11433,1253,0,381,109,389,2132
11434,1310,0,114,136,369,1929
11435,936,0,580,129,329,1974
11436,561,0,17,53,4,635
11040,17,0,23,5,11,56
10451,1807,0,657,173,260,2897
10452,1969,0,976,211,184,3340
10453,2067,0,1146,195,362,3770
10454,822,0,784,122,220,1948
10455,1247,0,994,84,119,2444
10456,2804,0,1023,196,122,4145
10457,2585,0,1570,209,249,4613
10458,2553,0,1674,384,709,5320
10459,1730,0,1472,98,130,3430
10460,1811,0,1286,154,92,3343
10461,900,0,1304,242,462,2908
10462,1669,0,2148,245,225,4287
10463,1303,0,671,505,276,2755
10464,778,0,99,42,251,1170
10465,881,0,311,118,309,1619
10466,1398,0,653,232,299,2582
10467,3131,0,1621,270,336,5358
10468,2689,0,1127,241,137,4194
10469,1563,0,671,164,153,2551
10470,351,0,340,72,135,898
10471,266,0,106,88,228,688
10472,1657,0,1485,152,180,3474
10473,818,0,404,127,37,1386
10474,568,0,668,99,8,1343
10475,176,0,130,45,20,371
11001,76,0,16,15,1,108
11004,87,0,110,34,85,316
10000,2,0,0,4,0,6
10001,592,0,663,654,944,2853
10002,1939,0,4355,698,4262,11254
10003,1148,0,1110,1524,2954,6736
10004,64,0,7,172,51,294
10005,37,0,11,133,67,248
10006,93,0,10,74,85,262
10007,317,0,76,197,130,720
10009,1583,0,1415,666,4813,8477
10010,520,0,154,572,501,1747
10011,1086,0,580,991,2101,4758
10012,818,0,1465,763,2288,5334
10013,880,0,1706,780,1367,4733
10014,1199,0,391,758,2892,5240
10016,907,0,289,828,1607,3631
10017,176,0,25,426,504,1131
10018,254,0,155,421,444,1274
10019,845,0,204,949,2416,4414
10020,13,0,0,31,2,46
10021,681,0,176,512,565,1934
10022,601,0,100,823,924,2448
10023,1074,0,97,924,418,2513
10024,1695,0,308,1195,772,3970
10025,2952,0,581,1471,1630,6634
10026,1663,0,445,468,593,3169
10027,2107,0,832,509,1547,4995
10028,995,0,265,657,1136,3053
10029,1801,0,740,464,1216,4221
10030,1165,0,280,190,583,2218
10031,2329,0,915,316,999,4559
10032,1704,0,1038,404,1443,4589
10033,1448,0,810,342,1575,4175
10034,1324,0,723,336,3107,5490
10035,1130,0,506,255,176,2067
10036,872,0,177,824,2092,3965
10037,410,0,111,89,53,663
10038,435,0,199,312,277,1223
10039,556,0,170,108,35,869
10040,1101,0,712,403,1905,4121
10044,11,0,1,16,1,29
10048,1,0,0,1,0,2
10065,582,0,208,468,280,1538
10069,30,0,0,29,2,61
10075,458,0,152,326,333,1269
11101,831,0,1287,491,973,3582
11102,346,0,476,208,820,1850
11103,794,0,495,165,2570,4024
11104,351,0,237,151,483,1222
11105,498,0,681,249,772,2200
11106,487,0,547,249,2276,3559
10115,1,0,0,0,0,1
10118,1,0,0,0,0,1
10120,2,0,0,0,0,2
10121,1,0,0,0,3,4
10128,1721,0,511,794,693,3719
11691,824,0,208,84,23,1139
11692,258,0,14,30,0,302
11693,213,0,16,54,213,496
11694,251,0,43,119,251,664
11695,1,0,0,0,0,1
11697,1,0,2,5,3,11
10162,10,0,0,2,0,12
10174,1,0,0,0,0,1
11201,907,0,518,813,601,2839
11203,1997,0,440,184,892,3513
11204,743,0,831,199,157,1930
11205,1306,0,1086,497,1379,4268
11206,2061,0,2044,508,2200,6813
11207,3071,0,1403,379,633,5486
11208,2246,0,1280,290,368,4184
11209,785,0,1116,426,1513,3840
11210,1064,0,531,163,270,2028
11211,1765,0,2950,759,3554,9028
11212,1925,0,1051,162,157,3295
11213,2368,0,751,269,253,3641
11214,1140,0,1086,352,365,2943
11215,1723,0,1310,769,1208,5010
11216,3476,0,1215,412,1429,6532
11217,1789,0,734,446,2630,5599
11218,943,0,1460,406,844,3653
11219,990,0,1182,199,190,2561
11220,841,0,3342,400,592,5175
11221,4706,0,1685,386,708,7485
11222,1264,0,2017,711,1233,5225
11223,901,0,985,296,723,2905
11224,525,0,223,146,62,956
11225,1721,0,697,200,864,3482
11226,2457,0,964,339,1656,5416
11228,396,0,396,145,132,1069
11229,810,0,683,295,106,1894
11230,959,0,1224,308,401,2892
11231,739,0,690,673,513,2615
11232,366,0,1236,191,350,2143
11233,3235,0,953,248,367,4803
11234,1189,0,552,574,958,3273
11235,1386,0,814,467,629,3296
11236,1440,0,414,190,237,2281
11237,1949,0,1410,334,1674,5367
11238,2786,0,1275,634,2904,7599
11239,22,0,1,8,0,31
11753,1,0,0,0,0,1
11242,1,0,0,0,0,1
11249,393,0,1021,337,1574,3325
10110,0,0,1,0,0,1
11241,0,0,1,0,0,1
10281,0,0,0,6,8,14
11359,0,0,0,2,0,2
10041,0,0,0,1,0,1
11109,0,0,0,2,17,19
10103,0,0,0,2,0,2
10111,0,0,0,2,0,2
10112,0,0,0,3,1,4
10119,0,0,0,6,1,7
10123,0,0,0,1,0,1
10129,0,0,0,3,0,3
10153,0,0,0,1,0,1
10106,0,0,0,0,2,2
